FECHA,LINEA,ENSAMBLE,CATEGORIA,SUBCATEGORIA,HORA INICIO,HORA FINAL,TIEMPO TOTAL,REEMPLAZO DE PARTES DAÑADAS,ESPERANDO PARTES DE REEMPLAZO,TPM,ATENDIENDO SOPORTE,VALIDACIÓN / VERIFICACIÓN DE AJUSTES,AJUSTANDO Y ENVIANDO PROGRAMA,DEPURANDO NUEVO PROCESO,CAMBIO DE LÍNEA,PROGRAMA NO DISPONIBLE,MAQUINA LENTA,ROUTING INCORRECTO / NO ACTUALIZADO,RECUPERANDO COMPONENTES,FALLA ELÉCTRICA DEL PROBADOR,DEPURANDO EQUIPO o PROGRAMA,FALLA MECÁNICA DEL PROBADOR,SOLICITUD Y MONTADO DE MATERIAL PRODUCCION,SURTIDO DE ALMACÉN,AUDITORÍA Y LIBERACIÓN CALIDAD,MATERIAL EQUIVOCADO (CARRUSEL),ESPERANDO MATERIAL DE AVNET,DISCREPANCIA DE MATERIAL,KIT NO A TIEMPO POR CAPACIDAD DE KITEO,PERSONAL INSUFICIENTE,ROLLO EXTRAVIADO (MATERIALES),ROLLO EXTRAVIADO (PRODUCCION),CONTANDO MATERIAL MONTADO EN MAQUINA,DISCREPANCIA o MAL BALANCE,TRASLAPE DE TURNO,JUNTA INICIAL,EJERCICIOS DE ESTIRAMIENTO,DESPEJE DE LINEA (CIERRE DE TURNO),FALLA DE EQUIPOS,BOM COMPLEJO / GRANDE,MATERIAL PERDIDO / KIT INCOMPLETO,NO PLAN,BALANCEO DE LINEAS,ENTRENAMIENTOS,PERSONAL CUBRIENDO LINEA,MAQUINA PREVIA LENTA/CAIDA,MAQUINA SIGUIENTE LENTA/CAIDA,ROLLO MAL MONTADO EN FEEDER,FEEDER S / ESCANEAR,PCBs BLOQUEADOS INCORRECTAMENTE,SETUP DE MAQUINA INCORRECTO,RECUPERANDO COMPONENTE,CORTANDO ROLLO (S) POR INVENTARIO JUSTO,CAMBIOS DE ROLLOS EN MAQUINA,HACIENDO EMPATE,KIT NO A TIEMPO POR CAPACIDAD DE MONTADO,CARROS DE MONTADO INSUFICIENTES,FEEDERS INSUFICIENTES,SORTEO E INSPECCION DE PRODUCTO,MATERIA PRIMA CON DEFECTO DE PROVEEDOR,FALTA DE MATERIAL (DETENIDO QC INSPECCION),CAMBIO DE PROGRAMA (PRIORIDADES),ERROR EN PLAN DE PRODUCCION,LUZ,AGUA,SISTEMA DE EXTRACCION,AIRE COMPRIMIDO,SUMINISTRO VAC (COMUN / UPS),SIMULACROS,EVACUACION POR ALARMA,CONATOS,SYTELINE CAIDO,SISTEMA DE CRs NO DISPONIBLE,IMPRESORA NO DISPONIBLE,PC (s) TRABADA (s),ACTUALIZACIONES AUTOMATICAS,CURSOS DE CAPACITACION,JUNTAS INFORMATIVAS,BLOQUEADOS PCBs con DEFECTO,REEMPALZO DE PAPEL EN DEK,INGENIERIA,MATERIALES,PRODUCCION,CALIDAD,CONTROL DE PRODUCCION,MANTENIMIENTO,SISTEMAS,OTROS
5/27/2024,2,003-28218-1E,PRODUCCION,CAMBIO DE MODELO,8:00:00 AM,9:00:00 AM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
5/27/2024,2,003-28218-1E,PRODUCCION,ERROR DE OPERACIÓN,9:00:00 AM,10:00:00 AM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,PROBLEMAS DE PROCESO,10:00:00 AM,11:00:00 AM,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,PROBLEMAS DE PROCESO,11:00:00 AM,12:00:00 PM,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,PROBLEMAS DE PROCESO,12:00:00 PM,1:00:00 AM,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,PROBLEMAS DE PROCESO,2:00:00 PM,3:00:00 PM,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,PROBLEMAS DE PROCESO,4:00:00 PM,5:00:00 PM,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,PRODUCCION,REEMPLAZO DE ROLLOS,6:00:00 PM,7:00:00 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,PROBLEMAS DE PROCESO,7:00:00 PM,8:00:00 PM,76,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
5/30/2024,2,003-33322-TP,PRODUCCION,REEMPLAZO DE ROLLOS,7:00:00 AM,8:00:00 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
